2.10E+07,6.45E+05,6.2752,2.69E+07,1.06E+06,6.1913,,,2.0953,6.4508,6.2752,2.6929,1.061,6.1913
2.09E+07,6.31E+05,6.2863,2.69E+07,1.05E+06,6.2002,,,2.0882,6.3089,6.2863,2.6883,1.0497,6.2002
2.08E+07,6.18E+05,6.3013,2.68E+07,1.04E+06,6.2126,,,2.0817,6.1817,6.3013,2.6847,1.0391,6.2126
2.08E+07,6.05E+05,6.318,2.68E+07,1.03E+06,6.2279,,,2.0759,6.054,6.318,2.6822,1.0294,6.2279
2.07E+07,5.93E+05,6.3354,2.68E+07,1.02E+06,6.2453,,,2.0714,5.9333,6.3354,2.6812,1.021,6.2453
2.07E+07,5.82E+05,6.3548,2.68E+07,1.01E+06,6.2635,,,2.0674,5.8176,6.3548,2.6818,1.0148,6.2635
2.06E+07,5.71E+05,6.3752,2.68E+07,1.01E+06,6.2857,,,2.0647,5.7121,6.3752,2.684,1.0096,6.2857
2.06E+07,5.62E+05,6.3953,2.69E+07,1.01E+06,6.3089,,,2.0629,5.6228,6.3953,2.6881,1.0056,6.3089
2.06E+07,5.56E+05,6.4175,2.69E+07,1.00E+06,6.3304,,,2.0625,5.5563,6.4175,2.6939,1.0037,6.3304
2.06E+07,5.48E+05,6.445,2.70E+07,1.01E+06,6.349,,,2.0631,5.4808,6.445,2.7013,1.0053,6.349
2.07E+07,5.45E+05,6.4675,2.71E+07,1.01E+06,6.3676,,,2.0656,5.4528,6.4675,2.7104,1.0093,6.3676
